학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-3-a,1-3-b,1-3-c,2-1-a,2-2-a,2-3-a,2-3-b,3-1-a,3-2-a,3-3-a,score,std_score,percentile
241,1,3,3,3,3,3,0,0,0,3,0,0,0,4,8,0,27,97,56
242,1,3,3,3,3,3,2,0,0,3,0,0,3,0,4,0,24,93,64
243,1,3,3,3,0,0,0,0,0,3,0,0,0,4,0,0,13,78,81
244,1,3,3,3,3,3,2,2,0,6,4,0,3,4,8,0,41,115,20
245,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,12,60,140,0
246,1,3,3,3,0,0,0,0,0,6,4,4,3,4,8,0,35,107,36
248,1,3,3,3,0,0,0,0,0,3,0,4,3,4,0,0,20,87,71
249,1,3,3,3,3,3,2,0,0,6,0,4,3,4,8,0,39,112,26
250,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,0,48,124,11
257,1,3,3,3,3,3,0,0,0,6,4,4,0,4,8,0,38,111,28
258,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,69,90
252,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,12,60,140,0
